artist_names,track_name,peak_rank,weeks_on_chart,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,duration_ms
ENHYPEN,Polaroid Love,158,2,0.738,0.67,7,-3.766,0,0.0439,0.458,0.0,0.361,138.055,184602
A$AP Rocky,D.M.B.,159,1,0.727,0.616,8,-8.487,1,0.338,0.542,4.47e-06,0.482,140.014,291612
Cris Mj,Una Noche en Medellín,16,4,0.87,0.548,10,-5.253,0,0.077,0.0924,4.6e-05,0.0534,96.018,153750
Nicki Minaj,Super Freaky Girl,16,1,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,133.01,170977
Imagine Dragons,Believer,16,268,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,124.949,204347
Harry Styles,Daydreaming,16,2,0.707,0.811,4,-5.298,0,0.0304,0.311,0.0152,0.131,113.971,187342
Kanye West,Praise God,16,19,0.798,0.545,1,-6.466,1,0.168,0.00904,9.48e-05,0.258,118.029,226653
"Gunna, Young Thug",mop (feat. Young Thug),160,1,0.878,0.575,9,-8.732,1,0.284,0.00293,0.0,0.273,144.918,185213
Rex Orange County,THE SHADE,161,3,0.898,0.509,5,-7.973,1,0.062,0.391,0.0,0.0876,119.869,181507
Kordhell,Murder In My Mind,163,1,0.712,0.972,10,-0.514,1,0.112,0.00547,7.06e-05,0.128,119.966,145000
Foo Fighters,Everlong,164,1,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,158.066,250547
Ezhel,Nerdesin,164,3,0.816,0.696,8,-6.75,0,0.153,0.201,0.000643,0.13,100.004,176268
Pharrell Williams,Just a Cloud Away,165,1,0.888,0.459,2,-8.154,1,0.0357,0.426,0.0,0.11,112.56,176078
Daddy Yankee,REMIX,166,1,0.819,0.781,1,-4.879,1,0.0547,0.0323,0.0012,0.121,100.062,163680
Lizzo,2 Be Loved (Am I Ready),167,1,0.721,0.769,7,-4.111,1,0.105,0.0922,0.0,0.0817,155.932,187108
"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,167,1,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,116.047,248413
"The Weeknd, Lana Del Rey",Stargirl Interlude,168,4,0.715,0.47,5,-12.638,0,0.0772,0.353,0.0923,0.104,89.965,111627
"Megan Thee Stallion, Dua Lipa",Sweetest Pie,17,2,0.814,0.628,7,-7.178,1,0.221,0.167,0.0,0.101,123.977,201334
"The Weeknd, Gesaffelstein",I Was Never There,17,10,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,113.26,241067
"J Balvin, Bad Bunny",LA CANCIÓN,17,64,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,176.089,242573
"Bad Bunny, Tony Dize",La Corriente,17,14,0.663,0.786,11,-3.51,0,0.195,0.229,0.0,0.219,196.12,198367
Kendrick Lamar,Rich Spirit,17,3,0.852,0.421,10,-9.153,0,0.208,0.428,2.28e-06,0.106,95.977,202285
Drake,Sticky,17,5,0.853,0.495,6,-14.63,1,0.14,0.0917,0.000217,0.0844,137.027,243228
Olivia Rodrigo,"jealousy, jealousy",17,29,0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,163.929,173160
Lauren Spencer Smith,Fingers Crossed,17,11,0.56,0.473,5,-7.23,1,0.0533,0.618,0.0,0.31,109.414,175345
"Imagine Dragons, Arcane, League of Legends",Enemy - From the series Arcane League of Legends,171,3,0.722,0.745,7,-4.164,1,0.256,0.247,0.0,0.419,77.029,173381
"Matheus Fernandes, Xand Avião",Balanço da Rede,171,2,0.764,0.796,6,-4.611,0,0.033,0.193,0.0,0.0853,140.072,166436
NewJeans,Hype Boy,171,1,0.593,0.935,4,-3.43,0,0.225,0.268,0.0,0.286,99.976,179027
Duki,Antes de Perderte,173,1,0.812,0.925,5,-3.092,0,0.113,0.487,0.0,0.115,110.031,176727
"La Adictiva Banda San José de Mesillas, Luis R Conriquez",JGL,173,1,0.702,0.586,8,-5.317,1,0.118,0.55,0.0,0.27,112.852,158093
Beach House,Space Song,174,10,0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,147.067,320467
Beach Weather,"Sex, Drugs, Etc.",175,1,0.572,0.839,4,-5.083,0,0.0377,0.013,0.00976,0.522,143.969,196784
"Mac Miller, The Temper Trap",Love Lost,175,1,0.735,0.812,2,-4.417,1,0.151,0.528,0.0,0.186,109.835,162876
Marília Mendonça,Te Amo Demais,177,1,0.713,0.625,0,-3.473,1,0.0268,0.573,0.0,0.11,114.023,205685
Post Malone,When I’m Alone,177,1,0.485,0.656,10,-6.121,0,0.0528,0.0346,0.0,0.155,140.107,195111
Brent Faiyaz,LOOSE CHANGE,178,1,0.574,0.369,1,-8.931,0,0.0814,0.753,0.0,0.147,84.975,226011
Chanel,SloMo,179,1,0.728,0.814,1,-3.29,0,0.0571,0.125,0.00448,0.0927,104.962,176286
Drake,Massive,18,8,0.499,0.671,4,-6.774,0,0.0561,0.114,0.0169,0.148,124.994,336924
The Kid LAROI,Thousand Miles,18,6,0.376,0.657,7,-4.658,1,0.0768,0.0858,0.0,0.0884,80.565,164782
"Daddy Yankee, Bad Bunny",X ÚLTIMA VEZ,18,20,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,90.04,192477
"Lost Frequencies, Calum Scott",Where Are You Now,18,29,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,120.966,148197
"Post Malone, Roddy Ricch",Cooped Up (with Roddy Ricch),18,13,0.669,0.773,0,-5.619,1,0.153,0.038,0.0,0.113,93.923,185857
"Bizarrap, Residente","Residente: Bzrp Music Sessions, Vol. 49",18,3,0.586,0.74,1,-2.997,0,0.404,0.555,0.0,0.11,71.378,519289
Rkomi,INSUPERABILE,180,1,0.667,0.848,4,-5.195,0,0.0851,0.0344,0.0,0.183,122.035,172462
ROSALÍA,BIZCOCHITO,180,1,0.93,0.774,1,-4.203,1,0.0744,0.605,0.0238,0.12,116.972,109120
Future,MASSAGING ME,180,1,0.916,0.453,1,-4.148,1,0.158,0.000189,0.0,0.137,145.007,106133
